segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
0,0.0,60.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
1,60.0,120.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
2,120.0,240.0,120.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
3,240.0,300.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
4,300.0,360.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
5,360.0,480.0,120.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
6,480.0,540.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
7,540.0,600.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
8,600.0,720.0,120.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
9,720.0,780.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
10,780.0,840.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
11,840.0,900.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
12,900.0,960.0,60.0,1,146.2,146.2,1,0,0.0,0.0,0,0.0,146.2,1,1,1
13,960.0,1020.0,60.0,1,148.63666666666666,148.63666666666666,1,0,0.0,0.0,0,0.0,148.63666666666666,1,1,1
14,1020.0,1080.0,60.0,1,151.15593220338982,151.15593220338982,1,0,0.0,0.0,0,0.0,151.15593220338982,1,1,1
15,1080.0,1140.0,60.0,1,153.76206896551724,153.76206896551724,1,0,0.0,0.0,0,0.0,153.76206896551724,1,1,1
16,1140.0,1200.0,60.0,1,156.459649122807,156.459649122807,1,0,0.0,0.0,0,0.0,156.459649122807,1,1,1
17,1200.0,1260.0,60.0,1,159.25357142857143,159.25357142857143,1,0,0.0,0.0,0,0.0,159.25357142857143,1,1,1
18,1260.0,1320.0,60.0,1,162.14909090909092,162.14909090909092,1,0,0.0,0.0,0,0.0,162.14909090909092,1,1,1
19,1320.0,1380.0,60.0,2,307.15185185185186,307.15185185185186,1,0,0.0,0.0,0,0.0,307.15185185185186,1,1,1
20,1380.0,1432.198,52.19800000000009,2,312.4866745283019,312.4866745283019,1,0,0.0,0.0,0,0.0,312.4866745283019,1,1,1
21,1432.198,1500.0,67.80199999999991,2,317.2822102651338,317.2822102651338,1,1,800.0,800.0,576.4,39081.07279999995,0.0,0,0,0
22,1500.0,1560.0,60.0,3,481.18249491039427,481.18249491039427,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
23,1560.0,1620.0,60.0,3,474.82983209019744,474.82983209019744,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
24,1620.0,1680.0,60.0,3,468.21809569161,468.21809569161,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
25,1680.0,1740.0,60.0,3,461.33106608135995,461.33106608135995,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
26,1740.0,1800.0,60.0,3,454.15113777919555,454.15113777919555,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
27,1800.0,1860.0,60.0,3,446.65916792779046,446.65916792779046,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
28,1860.0,1920.0,60.0,3,438.8343044030784,438.8343044030784,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
29,1920.0,1980.0,60.0,4,555.4537902959831,555.4537902959831,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
30,1980.0,2040.0,60.0,4,549.0079951191224,549.0079951191224,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
31,2040.0,2100.0,60.0,4,542.8601945219267,542.8601945219267,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
32,2100.0,2160.0,60.0,5,656.4080181633258,656.4080181633258,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
33,2160.0,2220.0,60.0,5,651.3427667262084,651.3427667262084,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
34,2220.0,2280.0,60.0,5,645.9744956003549,645.9744956003549,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
35,2280.0,2340.0,60.0,5,640.2773741932506,640.2773741932506,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
36,2340.0,2400.0,60.0,5,634.222666756186,634.222666756186,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
37,2400.0,2460.0,60.0,5,627.6873680360853,627.6873680360853,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
38,2460.0,2520.0,60.0,5,620.8121792493747,620.8121792493747,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
39,2520.0,2580.0,60.0,6,748.770788167954,748.770788167954,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
40,2580.0,2640.0,60.0,6,743.3148986373944,743.3148986373944,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
41,2640.0,2700.0,60.0,6,737.4923628520397,737.4923628520397,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
42,2700.0,2760.0,60.0,7,840.348411198761,840.348411198761,2,1,800.0,800.0,800.0,48000.0,40.34841119876103,0,0,0
43,2760.0,2820.0,60.0,7,834.8051326006109,834.8051326006109,2,1,800.0,800.0,800.0,48000.0,34.80513260061093,0,0,0
44,2820.0,2880.0,60.0,7,828.505453207815,828.505453207815,2,1,800.0,800.0,800.0,48000.0,28.50545320781498,0,0,0
45,2880.0,2940.0,60.0,7,821.6428896212144,821.6428896212144,2,1,800.0,800.0,800.0,48000.0,21.642889621214408,0,0,0
46,2940.0,2960.863,20.86299999999983,7,813.994732578028,813.994732578028,2,1,800.0,800.0,800.0,16690.399999999863,13.994732578027993,0,0,0
47,2960.863,3000.0,39.13700000000017,7,811.1323299321531,811.1323299321531,2,2,1600.0,1600.0,1600.0,62619.20000000027,0.0,0,0,0
48,3000.0,3060.0,60.0,7,793.0620779385314,793.0620779385314,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
49,3060.0,3120.0,60.0,7,763.6160675036136,763.6160675036136,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
50,3120.0,3240.0,120.0,8,833.9102370666405,833.9102370666405,2,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
