rank,window_id,a,b,on,off,duration
1,X008117,Satellite126,Satellite2507,1432.198,6748.828,5316.63
2,X019903,Satellite152,Satellite2803,2960.863,8385.934,5425.071
3,X011831,Satellite134,Satellite2606,7880.732,13515.068,5634.335999999999
4,X020430,Satellite153,Satellite2805,8021.305,13453.658,5432.352999999999
5,X020959,Satellite154,Satellite2807,13081.965,18521.672,5439.7069999999985
6,X014864,Satellite141,Satellite2704,15134.263,20831.95,5697.687
7,X018334,Satellite148,Satellite2702,16403.636,22099.452,5695.8160000000025
8,X015861,Satellite143,Satellite2707,19576.32,25268.354,5692.034
9,X017339,Satellite146,Satellite2701,23382.413,29071.33,5688.917000000001
10,X012828,Satellite136,Satellite2602,29462.134,35037.96,5575.826000000001
11,X012325,Satellite135,Satellite2601,30096.329,35670.972,5574.643
12,X017844,Satellite147,Satellite2704,34161.892,39848.604,5686.7119999999995
13,X016844,Satellite145,Satellite2702,35429.751,41116.783,5687.0320000000065
