segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
0,0.0,60.0,60.0,0,0,0,0.0,0.0,
1,60.0,120.0,60.0,0,0,0,0.0,0.0,
2,120.0,240.0,120.0,0,0,0,0.0,0.0,
3,240.0,300.0,60.0,0,0,0,0.0,0.0,
4,300.0,360.0,60.0,0,0,0,0.0,0.0,
5,360.0,480.0,120.0,0,0,0,0.0,0.0,
6,480.0,540.0,60.0,0,1,0,0.25,0.0,0.0
7,540.0,600.0,60.0,0,0,0,0.0,0.0,
8,600.0,720.0,120.0,0,0,0,0.0,0.0,
9,720.0,780.0,60.0,0,0,0,0.0,0.0,
10,780.0,840.0,60.0,0,0,0,0.0,0.0,
11,840.0,900.0,60.0,0,0,0,0.0,0.0,
12,900.0,960.0,60.0,0,0,0,0.0,0.0,
13,960.0,1020.0,60.0,0,0,0,0.0,0.0,
14,1020.0,1080.0,60.0,0,0,0,0.0,0.0,
15,1080.0,1140.0,60.0,0,0,0,0.0,0.0,
16,1140.0,1200.0,60.0,0,0,0,0.0,0.0,
17,1200.0,1260.0,60.0,0,0,0,0.0,0.0,
18,1260.0,1320.0,60.0,0,0,0,0.0,0.0,
19,1320.0,1380.0,60.0,0,0,0,0.0,0.0,
20,1380.0,1432.198,52.19800000000009,0,0,0,0.0,0.0,
21,1432.198,1500.0,67.80199999999991,1,0,0,0.0,0.0,
22,1500.0,1560.0,60.0,1,0,0,0.0,0.0,
23,1560.0,1620.0,60.0,1,0,0,0.0,0.0,
24,1620.0,1680.0,60.0,1,0,0,0.0,0.0,
25,1680.0,1740.0,60.0,1,0,0,0.0,0.0,
26,1740.0,1800.0,60.0,1,0,0,0.0,0.0,
27,1800.0,1860.0,60.0,1,0,0,0.0,0.0,
28,1860.0,1980.0,120.0,1,0,0,0.0,0.0,
29,1980.0,2040.0,60.0,1,1,1,0.35,0.35,1.0
30,2040.0,2100.0,60.0,1,2,2,0.55,0.55,1.0
31,2100.0,2160.0,60.0,1,1,1,0.2,0.2,1.0
32,2160.0,2220.0,60.0,1,0,0,0.0,0.0,
33,2220.0,2280.0,60.0,1,0,0,0.0,0.0,
34,2280.0,2340.0,60.0,1,0,0,0.0,0.0,
35,2340.0,2400.0,60.0,1,0,0,0.0,0.0,
36,2400.0,2460.0,60.0,1,0,0,0.0,0.0,
37,2460.0,2520.0,60.0,1,0,0,0.0,0.0,
38,2520.0,2580.0,60.0,1,1,1,0.35,0.35,1.0
39,2580.0,2640.0,60.0,1,1,1,0.35,0.35,1.0
40,2640.0,2760.0,120.0,1,2,2,0.55,0.55,1.0
41,2760.0,2820.0,60.0,1,1,1,0.2,0.2,1.0
42,2820.0,2880.0,60.0,1,0,0,0.0,0.0,
43,2880.0,2940.0,60.0,1,0,0,0.0,0.0,
44,2940.0,2960.863,20.86299999999983,1,0,0,0.0,0.0,
45,2960.863,3000.0,39.13700000000017,2,0,0,0.0,0.0,
46,3000.0,3060.0,60.0,2,0,0,0.0,0.0,
47,3060.0,3120.0,60.0,2,0,0,0.0,0.0,
48,3120.0,3240.0,120.0,2,1,1,0.35,0.35,1.0
49,3240.0,3300.0,60.0,2,2,2,0.55,0.55,1.0
50,3300.0,3360.0,60.0,2,2,2,0.55,0.55,1.0
51,3360.0,3420.0,60.0,2,1,1,0.2,0.2,1.0
52,3420.0,3480.0,60.0,2,1,1,0.2,0.2,1.0
53,3480.0,3540.0,60.0,2,0,0,0.0,0.0,
54,3540.0,3600.0,60.0,2,0,0,0.0,0.0,
55,3600.0,3660.0,60.0,2,0,0,0.0,0.0,
56,3660.0,3720.0,60.0,2,0,0,0.0,0.0,
57,3720.0,3780.0,60.0,2,1,1,0.35,0.35,1.0
58,3780.0,3840.0,60.0,2,1,1,0.35,0.35,1.0
59,3840.0,3900.0,60.0,2,2,2,0.55,0.55,1.0
60,3900.0,4020.0,120.0,2,2,2,0.55,0.55,1.0
61,4020.0,4080.0,60.0,2,1,1,0.2,0.2,1.0
62,4080.0,4140.0,60.0,2,0,0,0.0,0.0,
63,4140.0,4200.0,60.0,2,0,0,0.0,0.0,
64,4200.0,4260.0,60.0,2,0,0,0.0,0.0,
65,4260.0,4320.0,60.0,2,0,0,0.0,0.0,
66,4320.0,4380.0,60.0,2,0,0,0.0,0.0,
67,4380.0,4500.0,120.0,2,1,1,0.35,0.35,1.0
68,4500.0,4560.0,60.0,2,2,2,0.55,0.55,1.0
69,4560.0,4620.0,60.0,2,2,2,0.55,0.55,1.0
