segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
0,0.0,60.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
1,60.0,120.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
2,120.0,240.0,120.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
3,240.0,300.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
4,300.0,360.0,60.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
5,360.0,430.729,70.72899999999998,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
6,430.729,480.0,49.271000000000015,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
7,480.0,540.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
8,540.0,600.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
9,600.0,720.0,120.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
10,720.0,780.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
11,780.0,840.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
12,840.0,900.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
13,900.0,960.0,60.0,1,146.2,146.2,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
14,960.0,1020.0,60.0,1,143.76333333333332,143.76333333333332,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
15,1020.0,1080.0,60.0,1,141.24406779661018,141.24406779661018,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
16,1080.0,1140.0,60.0,1,138.63793103448276,138.63793103448276,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
17,1140.0,1200.0,60.0,1,135.94035087719297,135.94035087719297,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
18,1200.0,1260.0,60.0,1,133.14642857142857,133.14642857142857,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
19,1260.0,1320.0,60.0,1,130.2509090909091,130.2509090909091,1,1,800.0,800.0,292.4,17544.0,0.0,0,0,0
20,1320.0,1380.0,60.0,2,269.2481481481482,269.2481481481482,1,1,800.0,800.0,576.4,34584.0,0.0,0,0,0
21,1380.0,1432.198,52.19800000000009,2,263.9133254716981,263.9133254716981,1,1,800.0,800.0,576.4,30086.92720000005,0.0,0,0,0
22,1432.198,1500.0,67.80199999999991,2,259.11778973486616,259.11778973486616,1,2,1600.0,1600.0,576.4,39081.07279999995,0.0,0,0,0
23,1500.0,1560.0,60.0,3,421.76236559139784,421.76236559139784,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
24,1560.0,1620.0,60.0,3,412.37350418200066,412.37350418200066,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
25,1620.0,1680.0,60.0,3,402.61675170068025,402.61675170068025,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
26,1680.0,1740.0,60.0,3,392.4698716792884,392.4698716792884,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
27,1740.0,1800.0,60.0,3,381.90878496921755,381.90878496921755,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
28,1800.0,1860.0,60.0,3,370.9073735062293,370.9073735062293,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
29,1860.0,1920.0,60.0,3,359.43725829725827,359.43725829725827,1,2,1600.0,1600.0,914.5999999999999,54876.0,0.0,0,0,0
30,1920.0,1980.0,60.0,4,472.26754756871037,472.26754756871037,1,2,1600.0,1600.0,1151.6999999999998,69102.0,0.0,0,0,0
31,1980.0,2040.0,60.0,4,457.8611604340418,457.8611604340418,1,2,1600.0,1600.0,1151.6999999999998,69102.0,0.0,0,0,0
32,2040.0,2100.0,60.0,4,442.8190353774529,442.8190353774529,1,2,1600.0,1600.0,1151.6999999999998,69102.0,0.0,0,0,0
33,2100.0,2160.0,60.0,5,547.0974005134789,547.0974005134789,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
34,2160.0,2220.0,60.0,5,529.3465217625512,529.3465217625512,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
35,2220.0,2280.0,60.0,5,510.7795885274146,510.7795885274146,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
36,2280.0,2340.0,60.0,5,491.3371822033697,491.3371822033697,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
37,2340.0,2400.0,60.0,5,470.9538210485901,470.9538210485901,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
38,2400.0,2460.0,60.0,5,449.5571505917251,449.5571505917251,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
39,2460.0,2520.0,60.0,5,427.0669986790703,427.0669986790703,1,2,1600.0,1600.0,1366.2,81972.0,0.0,0,0,0
40,2520.0,2580.0,60.0,6,538.6942676767677,538.6942676767677,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
41,2580.0,2640.0,60.0,6,511.8539154298083,511.8539154298083,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
42,2640.0,2700.0,60.0,6,483.5473688587241,483.5473688587241,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
43,2700.0,2760.0,60.0,7,562.8455897645266,562.8455897645266,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
44,2760.0,2820.0,60.0,6,536.1650216976034,536.1650216976034,1,2,1600.0,1600.0,1551.9,93114.0,0.0,0,0,0
45,2820.0,2880.0,60.0,6,510.92764967612425,510.92764967612425,1,2,1600.0,1600.0,1551.9,93114.0,0.0,0,0,0
46,2880.0,2940.0,60.0,6,484.27284752284754,484.27284752284754,1,2,1600.0,1600.0,1551.9,93114.0,0.0,0,0,0
47,2940.0,3000.0,60.0,6,456.06693853372246,456.06693853372246,1,2,1600.0,1600.0,1551.9,93114.0,0.0,0,0,0
48,3000.0,3060.0,60.0,5,426.15767326597114,426.15767326597114,1,2,1600.0,1600.0,1213.7,72822.0,0.0,0,0,0
49,3060.0,3120.0,60.0,5,408.46237945069333,408.46237945069333,1,2,1600.0,1600.0,1213.7,72822.0,0.0,0,0,0
