rank,window_id,a,b,on,off,duration
1,X022006,Satellite156,Satellite2807,430.729,5852.174,5421.445
2,X008117,Satellite126,Satellite2507,1432.198,6748.828,5316.63
3,X020956,Satellite154,Satellite2806,7388.736,12820.177,5431.441
4,X020430,Satellite153,Satellite2805,8021.305,13453.658,5432.352999999999
5,X015858,Satellite143,Satellite2706,13864.685,19564.472,5699.787000000002
6,X018334,Satellite148,Satellite2702,16403.636,22099.452,5695.8160000000025
7,X006458,Satellite123,Satellite2507,20436.621,25719.773,5283.152000000002
8,X017339,Satellite146,Satellite2701,23382.413,29071.33,5688.917000000001
9,X018838,Satellite149,Satellite2705,27187.57,32874.668,5687.097999999998
10,X011843,Satellite134,Satellite2610,30730.506,36303.985,5573.478999999999
11,X017844,Satellite147,Satellite2704,34161.892,39848.604,5686.7119999999995
12,X010844,Satellite132,Satellite2609,37705.356,43200.0,5494.644
